Datum,Aussentemperatur,Vorlauftemperatur,Rücklauftemperatur,RL-Solltemperatur,Warmwassertemperatur,WW-Solltemperatur,Verdichter 1,Ventilator,2. Wärmeerzeuger,Heizungsumwälzpumpe,Warmwasserpumpe,Zusatzumwälzpumpe,Flanschheizung,Störung
2014/10/26 01:33:01,7.5,27.2,27.2,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:33:29,7.5,27.2,27.1,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:33:59,7.5,27.1,27.1,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:34:27,7.5,27.1,27.1,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:34:57,7.5,27.1,27.0,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:35:25,7.5,27.0,27.0,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:35:55,7.5,27.0,27.0,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:36:25,7.5,27.0,27.0,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:36:55,7.5,26.9,26.9,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:37:20,7.5,26.9,26.9,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:37:50,7.5,26.9,26.9,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:38:16,7.5,26.8,26.8,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:38:46,7.5,26.8,26.8,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:39:11,7.5,26.8,26.8,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:39:41,7.5,26.8,26.8,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:40:09,7.5,26.7,26.8,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:40:39,7.5,26.7,26.7,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:41:09,7.5,26.7,26.7,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:41:39,7.5,26.7,26.7,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:42:07,7.5,26.6,26.7,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:42:37,7.5,26.6,26.7,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:43:07,7.5,26.6,26.6,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:43:37,7.5,26.6,26.6,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:44:04,7.5,26.6,26.6,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:44:34,7.5,26.5,26.6,26.5,40.6,46.0,0,0,0,0,1,0,0,0
